日付,緯度,経度,日平均気温(℃)
2020-01-01,32.83433481269516,130.02409751074833,4.72
2020-01-02,32.83433481269516,130.02409751074833,7.83
2020-01-03,32.83433481269516,130.02409751074833,8.25
2020-01-04,32.83433481269516,130.02409751074833,7.73
2020-01-05,32.83433481269516,130.02409751074833,7.92
2020-01-06,32.83433481269516,130.02409751074833,9.78
2020-01-07,32.83433481269516,130.02409751074833,16.24
2020-01-08,32.83433481269516,130.02409751074833,12.12
2020-01-09,32.83433481269516,130.02409751074833,10.02
2020-01-10,32.83433481269516,130.02409751074833,8.97
2020-01-11,32.83433481269516,130.02409751074833,9.73
2020-01-12,32.83433481269516,130.02409751074833,8.65
2020-01-13,32.83433481269516,130.02409751074833,7.6
2020-01-14,32.83433481269516,130.02409751074833,6.35
2020-01-15,32.83433481269516,130.02409751074833,5.55
2020-01-16,32.83433481269516,130.02409751074833,6.67
2020-01-17,32.83433481269516,130.02409751074833,8.43
2020-01-18,32.83433481269516,130.02409751074833,7.98
2020-01-19,32.83433481269516,130.02409751074833,7.7
2020-01-20,32.83433481269516,130.02409751074833,9.0
2020-01-21,32.83433481269516,130.02409751074833,7.62
2020-01-22,32.83433481269516,130.02409751074833,9.01
2020-01-23,32.83433481269516,130.02409751074833,14.65
2020-01-24,32.83433481269516,130.02409751074833,13.74
2020-01-25,32.83433481269516,130.02409751074833,11.31
2020-01-26,32.83433481269516,130.02409751074833,10.48
2020-01-27,32.83433481269516,130.02409751074833,10.43
2020-01-28,32.83433481269516,130.02409751074833,10.73
2020-01-29,32.83433481269516,130.02409751074833,9.54
2020-01-30,32.83433481269516,130.02409751074833,8.11
2020-01-31,32.83433481269516,130.02409751074833,7.0
2020-02-01,32.83433481269516,130.02409751074833,7.76
2020-02-02,32.83433481269516,130.02409751074833,8.4
2020-02-03,32.83433481269516,130.02409751074833,8.1
2020-02-04,32.83433481269516,130.02409751074833,7.04
2020-02-05,32.83433481269516,130.02409751074833,6.19
2020-02-06,32.83433481269516,130.02409751074833,5.27
2020-02-07,32.83433481269516,130.02409751074833,6.61
2020-02-08,32.83433481269516,130.02409751074833,7.1
2020-02-09,32.83433481269516,130.02409751074833,6.56
2020-02-10,32.83433481269516,130.02409751074833,8.83
2020-02-11,32.83433481269516,130.02409751074833,9.2
2020-02-12,32.83433481269516,130.02409751074833,13.0
2020-02-13,32.83433481269516,130.02409751074833,13.55
2020-02-14,32.83433481269516,130.02409751074833,13.02
2020-02-15,32.83433481269516,130.02409751074833,14.19
2020-02-16,32.83433481269516,130.02409751074833,11.01
